timestamp,src_ip,dst_ip,bytes_sent,bytes_received
2026-02-21 11:22:00,192.168.1.92,10.0.0.71,2879,3296
2026-02-21 11:23:00,192.168.1.105,10.0.0.128,4513,1159
2026-02-21 11:24:00,192.168.1.140,10.0.0.90,3882,1629
2026-02-21 11:25:00,192.168.1.24,10.0.0.13,1983,2997
2026-02-21 11:26:00,192.168.1.230,10.0.0.178,2544,2980
2026-02-21 11:27:00,192.168.1.73,10.0.0.246,3603,2374
2026-02-21 11:28:00,192.168.1.10,10.0.0.138,4671,2624
2026-02-21 11:29:00,192.168.1.28,10.0.0.25,2128,4352
2026-02-21 11:30:00,192.168.1.6,10.0.0.34,4412,3531
2026-02-21 11:31:00,192.168.1.89,10.0.0.159,1739,1740
2026-02-21 11:32:00,192.168.1.253,10.0.0.115,4927,2741
2026-02-21 11:33:00,192.168.1.143,10.0.0.63,2780,3478
2026-02-21 11:34:00,192.168.1.152,10.0.0.237,1721,4977
2026-02-21 11:35:00,192.168.1.250,10.0.0.90,3661,2433
2026-02-21 11:36:00,192.168.1.129,10.0.0.209,4840,4185
2026-02-21 11:37:00,192.168.1.85,10.0.0.190,1095,1702
2026-02-21 11:38:00,192.168.1.4,10.0.0.211,4699,1019
2026-02-21 11:39:00,192.168.1.80,10.0.0.252,2339,2850
