timestamp,packet_size,protocol,inter_arrival,anomaly
2026-02-21 22:06:46.065040,1169,6,0.945,1
2026-02-21 22:06:47.065040,190,6,0.368,0
2026-02-21 22:06:48.065040,1335,6,0.198,0
2026-02-21 22:06:49.065040,345,17,0.653,0
2026-02-21 22:06:50.065040,1143,17,0.124,0
2026-02-21 22:06:51.065040,1170,17,0.608,0
2026-02-21 22:06:52.065040,542,6,0.64,0
2026-02-21 22:06:53.065040,1426,1,0.913,1
2026-02-21 22:06:54.065040,1465,17,0.769,0
2026-02-21 22:06:55.065040,375,6,0.101,0
2026-02-21 22:06:56.065040,1375,17,0.741,0
2026-02-21 22:06:57.065040,222,1,0.096,0
2026-02-21 22:06:58.065040,1213,17,0.332,0
2026-02-21 22:06:59.065040,800,6,0.28,1
2026-02-21 22:07:00.065040,108,6,0.775,1
2026-02-21 22:07:01.065040,106,17,0.919,1
2026-02-21 22:07:02.065040,804,6,0.33,1
2026-02-21 22:07:03.065040,861,6,0.158,1
2026-02-21 22:07:04.065040,1227,17,0.776,0
2026-02-21 22:07:05.065040,1099,17,0.91,1
2026-02-21 22:07:06.065040,1305,1,0.149,0
2026-02-21 22:07:07.065040,1225,6,0.466,0
2026-02-21 22:07:08.065040,740,6,0.693,1
2026-02-21 22:07:09.065040,729,6,0.483,0
2026-02-21 22:07:10.065040,315,17,0.056,1
2026-02-21 22:07:11.065040,438,6,0.333,1
2026-02-21 22:07:12.065040,1115,1,0.461,0
2026-02-21 22:07:13.065040,389,17,0.419,1
2026-02-21 22:07:14.065040,1025,6,0.798,1
2026-02-21 22:07:15.065040,970,17,0.745,1
2026-02-21 22:07:16.065040,1035,6,0.185,1
2026-02-21 22:07:17.065040,1190,1,0.398,0
2026-02-21 22:07:18.065040,322,1,0.745,0
2026-02-21 22:07:19.065040,262,17,0.41,0
2026-02-21 22:07:20.065040,696,6,0.073,0
2026-02-21 22:07:21.065040,804,1,0.355,1
2026-02-21 22:07:22.065040,234,6,0.804,1
2026-02-21 22:07:23.065040,682,17,0.893,1
2026-02-21 22:07:24.065040,421,6,0.24,0
2026-02-21 22:07:25.065040,108,6,0.133,0
2026-02-21 22:07:26.065040,667,6,0.909,1
2026-02-21 22:07:27.065040,301,1,0.02,1
2026-02-21 22:07:28.065040,588,1,0.28,0
2026-02-21 22:07:29.065040,252,1,0.862,1
2026-02-21 22:07:30.065040,704,6,0.579,1
2026-02-21 22:07:31.065040,466,6,0.846,1
2026-02-21 22:07:32.065040,1445,1,0.304,0
2026-02-21 22:07:33.065040,328,6,0.865,1
2026-02-21 22:07:34.065040,256,6,0.064,1
2026-02-21 22:07:35.065040,655,17,0.549,1
2026-02-21 22:07:36.065040,931,17,0.444,1
2026-02-21 22:07:37.065040,982,6,0.117,1
2026-02-21 22:07:38.065040,896,1,0.182,1
2026-02-21 22:07:39.065040,1378,1,0.664,0
2026-02-21 22:07:40.065040,143,6,0.104,1
2026-02-21 22:07:41.065040,1211,1,0.888,1
2026-02-21 22:07:42.065040,122,6,0.024,1
2026-02-21 22:07:43.065040,310,1,0.089,0
2026-02-21 22:07:44.065040,401,17,0.77,1
2026-02-21 22:07:45.065040,789,17,0.919,0
2026-02-21 22:07:46.065040,832,1,0.565,1
2026-02-21 22:07:47.065040,512,17,0.078,1
2026-02-21 22:07:48.065040,1329,17,0.379,1
2026-02-21 22:07:49.065040,693,1,0.396,1
2026-02-21 22:07:50.065040,476,17,0.118,1
2026-02-21 22:07:51.065040,1317,1,0.295,1
2026-02-21 22:07:52.065040,330,17,0.525,0
2026-02-21 22:07:53.065040,570,17,0.73,0
2026-02-21 22:07:54.065040,413,6,0.614,1
2026-02-21 22:07:55.065040,1156,6,0.68,1
2026-02-21 22:07:56.065040,473,17,0.062,0
2026-02-21 22:07:57.065040,866,6,0.942,0
2026-02-21 22:07:58.065040,148,17,0.327,0
2026-02-21 22:07:59.065040,649,6,0.11,1
2026-02-21 22:08:00.065040,522,1,0.402,1
2026-02-21 22:08:01.065040,205,6,0.646,1
2026-02-21 22:08:02.065040,1120,6,0.402,1
2026-02-21 22:08:03.065040,803,17,0.326,1
2026-02-21 22:08:04.065040,107,6,0.865,1
2026-02-21 22:08:05.065040,494,6,0.121,0
2026-02-21 22:08:06.065040,147,1,0.184,1
2026-02-21 22:08:07.065040,1473,6,0.41,0
2026-02-21 22:08:08.065040,170,1,0.638,0
2026-02-21 22:08:09.065040,646,6,0.744,1
2026-02-21 22:08:10.065040,526,1,0.375,0
2026-02-21 22:08:11.065040,723,1,0.234,0
2026-02-21 22:08:12.065040,1018,1,0.587,0
2026-02-21 22:08:13.065040,799,6,0.604,1
2026-02-21 22:08:14.065040,1239,1,0.052,1
2026-02-21 22:08:15.065040,535,1,0.821,1
2026-02-21 22:08:16.065040,131,6,0.643,0
2026-02-21 22:08:17.065040,1350,6,0.332,0
2026-02-21 22:08:18.065040,790,1,0.463,1
2026-02-21 22:08:19.065040,1183,17,0.4,1
2026-02-21 22:08:20.065040,954,6,0.352,1
2026-02-21 22:08:21.065040,1143,6,0.484,1
2026-02-21 22:08:22.065040,664,6,0.902,1
2026-02-21 22:08:23.065040,688,17,0.346,1
2026-02-21 22:08:24.065040,1097,1,0.76,1
2026-02-21 22:08:25.065040,341,6,0.667,0
2026-02-21 22:08:26.065040,1337,17,0.001,1
2026-02-21 22:08:27.065040,360,6,0.745,1
2026-02-21 22:08:28.065040,275,17,0.049,1
2026-02-21 22:08:29.065040,234,17,0.142,1
2026-02-21 22:08:30.065040,101,17,0.239,0
2026-02-21 22:08:31.065040,1116,1,0.015,1
2026-02-21 22:08:32.065040,373,6,0.41,1
2026-02-21 22:08:33.065040,1006,6,0.345,0
2026-02-21 22:08:34.065040,528,17,0.992,0
2026-02-21 22:08:35.065040,1085,6,0.259,0
2026-02-21 22:08:36.065040,1049,6,0.351,1
2026-02-21 22:08:37.065040,1160,6,0.038,1
2026-02-21 22:08:38.065040,690,1,0.778,0
2026-02-21 22:08:39.065040,1115,17,0.947,1
2026-02-21 22:08:40.065040,306,1,0.974,1
2026-02-21 22:08:41.065040,1328,1,0.258,1
2026-02-21 22:08:42.065040,1353,17,0.157,0
2026-02-21 22:08:43.065040,644,17,0.102,0
2026-02-21 22:08:44.065040,862,6,0.066,0
2026-02-21 22:08:45.065040,849,6,0.02,1
2026-02-21 22:08:46.065040,297,17,0.758,1
2026-02-21 22:08:47.065040,1254,6,0.622,0
2026-02-21 22:08:48.065040,174,6,0.877,0
2026-02-21 22:08:49.065040,1425,1,0.208,1
2026-02-21 22:08:50.065040,1431,17,0.56,1
2026-02-21 22:08:51.065040,1037,1,0.783,0
2026-02-21 22:08:52.065040,1279,6,0.469,0
2026-02-21 22:08:53.065040,1205,17,0.059,0
2026-02-21 22:08:54.065040,260,1,0.885,0
2026-02-21 22:08:55.065040,850,1,0.129,0
2026-02-21 22:08:56.065040,454,6,0.19,1
2026-02-21 22:08:57.065040,1273,1,0.047,0
2026-02-21 22:08:58.065040,389,1,0.281,0
2026-02-21 22:08:59.065040,40,6,0.188,1
2026-02-21 22:09:00.065040,358,6,0.327,1
2026-02-21 22:09:01.065040,992,6,0.508,0
2026-02-21 22:09:02.065040,980,1,0.117,0
2026-02-21 22:09:03.065040,703,6,0.152,0
2026-02-21 22:09:04.065040,83,1,0.187,0
2026-02-21 22:09:05.065040,353,17,0.368,1
2026-02-21 22:09:06.065040,708,1,0.252,0
2026-02-21 22:09:07.065040,693,17,0.299,0
2026-02-21 22:09:08.065040,1285,17,0.188,1
2026-02-21 22:09:09.065040,364,6,0.751,1
2026-02-21 22:09:10.065040,733,6,0.447,0
2026-02-21 22:09:11.065040,1165,1,0.27,1
2026-02-21 22:09:12.065040,665,1,0.394,1
2026-02-21 22:09:13.065040,1315,17,0.477,0
2026-02-21 22:09:14.065040,514,17,0.558,1
2026-02-21 22:09:15.065040,125,1,0.845,0
2026-02-21 22:09:16.065040,353,17,0.076,1
2026-02-21 22:09:17.065040,91,6,0.271,1
2026-02-21 22:09:18.065040,1282,17,0.647,1
2026-02-21 22:09:19.065040,871,17,0.964,1
2026-02-21 22:09:20.065040,1303,17,0.288,1
2026-02-21 22:09:21.065040,1167,1,0.973,1
2026-02-21 22:09:22.065040,1150,1,0.087,0
2026-02-21 22:09:23.065040,1493,17,0.219,0
2026-02-21 22:09:24.065040,494,17,0.812,1
2026-02-21 22:09:25.065040,680,1,0.495,1
2026-02-21 22:09:26.065040,779,1,0.488,1
2026-02-21 22:09:27.065040,268,6,0.604,0
2026-02-21 22:09:28.065040,1239,1,0.657,0
2026-02-21 22:09:29.065040,439,6,0.538,0
2026-02-21 22:09:30.065040,1429,17,0.165,1
2026-02-21 22:09:31.065040,1422,17,0.761,0
2026-02-21 22:09:32.065040,847,1,0.154,0
2026-02-21 22:09:33.065040,858,6,0.787,0
2026-02-21 22:09:34.065040,509,17,0.286,1
2026-02-21 22:09:35.065040,1051,1,0.718,0
2026-02-21 22:09:36.065040,1101,17,0.771,0
2026-02-21 22:09:37.065040,201,1,0.712,0
2026-02-21 22:09:38.065040,1101,1,0.648,1
2026-02-21 22:09:39.065040,1367,1,0.019,0
2026-02-21 22:09:40.065040,1090,1,0.237,0
2026-02-21 22:09:41.065040,952,6,0.628,1
2026-02-21 22:09:42.065040,768,1,0.854,0
2026-02-21 22:09:43.065040,162,1,0.154,0
2026-02-21 22:09:44.065040,1420,6,0.731,1
2026-02-21 22:09:45.065040,646,1,0.91,1
2026-02-21 22:09:46.065040,889,17,0.463,1
2026-02-21 22:09:47.065040,1488,6,0.306,1
2026-02-21 22:09:48.065040,1241,6,0.209,0
2026-02-21 22:09:49.065040,1143,6,0.487,0
2026-02-21 22:09:50.065040,230,6,0.307,1
2026-02-21 22:09:51.065040,1294,6,0.127,0
2026-02-21 22:09:52.065040,443,1,0.254,1
2026-02-21 22:09:53.065040,622,6,0.167,0
2026-02-21 22:09:54.065040,945,17,0.112,0
2026-02-21 22:09:55.065040,1128,17,0.81,1
2026-02-21 22:09:56.065040,156,6,0.086,1
2026-02-21 22:09:57.065040,1226,17,0.763,0
2026-02-21 22:09:58.065040,1147,17,0.679,1
2026-02-21 22:09:59.065040,1298,6,0.978,0
2026-02-21 22:10:00.065040,897,17,0.394,0
2026-02-21 22:10:01.065040,124,1,0.002,1
2026-02-21 22:10:02.065040,1042,6,0.068,0
2026-02-21 22:10:03.065040,1295,17,0.599,0
2026-02-21 22:10:04.065040,102,17,0.49,1
2026-02-21 22:10:05.065040,521,1,0.451,0
2026-02-21 22:10:06.065040,429,6,0.054,0
2026-02-21 22:10:07.065040,969,1,0.528,0
2026-02-21 22:10:08.065040,1443,1,0.442,0
2026-02-21 22:10:09.065040,696,6,0.996,1
2026-02-21 22:10:10.065040,756,17,0.998,1
2026-02-21 22:10:11.065040,1431,1,0.936,1
2026-02-21 22:10:12.065040,1323,17,0.628,0
2026-02-21 22:10:13.065040,974,17,0.012,0
2026-02-21 22:10:14.065040,42,6,0.705,1
2026-02-21 22:10:15.065040,373,6,0.838,0
2026-02-21 22:10:16.065040,944,1,0.006,0
2026-02-21 22:10:17.065040,1405,17,0.805,0
2026-02-21 22:10:18.065040,655,6,0.212,1
2026-02-21 22:10:19.065040,535,1,0.974,1
2026-02-21 22:10:20.065040,1058,6,0.977,1
2026-02-21 22:10:21.065040,643,6,0.038,1
2026-02-21 22:10:22.065040,697,6,0.369,0
2026-02-21 22:10:23.065040,1222,6,0.756,0
2026-02-21 22:10:24.065040,409,1,0.022,1
2026-02-21 22:10:25.065040,739,17,0.317,1
2026-02-21 22:10:26.065040,782,6,0.031,1
2026-02-21 22:10:27.065040,1447,1,0.355,0
2026-02-21 22:10:28.065040,523,17,0.372,0
2026-02-21 22:10:29.065040,514,17,0.518,1
2026-02-21 22:10:30.065040,323,1,0.876,1
2026-02-21 22:10:31.065040,1295,17,0.622,1
2026-02-21 22:10:32.065040,950,6,0.675,0
2026-02-21 22:10:33.065040,438,6,0.634,1
2026-02-21 22:10:34.065040,982,1,0.105,0
2026-02-21 22:10:35.065040,644,1,0.803,0
2026-02-21 22:10:36.065040,473,17,0.896,1
2026-02-21 22:10:37.065040,74,1,0.911,0
2026-02-21 22:10:38.065040,480,6,0.414,1
2026-02-21 22:10:39.065040,1244,1,0.428,0
2026-02-21 22:10:40.065040,353,17,0.087,0
2026-02-21 22:10:41.065040,1305,17,0.278,0
2026-02-21 22:10:42.065040,153,1,0.761,1
2026-02-21 22:10:43.065040,1304,6,0.285,1
2026-02-21 22:10:44.065040,724,6,0.35,1
2026-02-21 22:10:45.065040,1490,1,0.399,0
2026-02-21 22:10:46.065040,1412,17,0.977,0
2026-02-21 22:10:47.065040,169,17,0.476,1
2026-02-21 22:10:48.065040,280,17,0.746,1
2026-02-21 22:10:49.065040,1422,1,0.74,0
2026-02-21 22:10:50.065040,996,6,0.884,0
2026-02-21 22:10:51.065040,251,17,0.422,0
2026-02-21 22:10:52.065040,1471,1,0.389,1
2026-02-21 22:10:53.065040,459,17,0.733,0
2026-02-21 22:10:54.065040,1401,1,0.132,1
2026-02-21 22:10:55.065040,91,1,0.804,0
2026-02-21 22:10:56.065040,1352,6,0.632,0
2026-02-21 22:10:57.065040,1446,1,0.822,1
2026-02-21 22:10:58.065040,64,17,0.866,0
2026-02-21 22:10:59.065040,969,6,0.175,1
2026-02-21 22:11:00.065040,873,17,0.425,1
2026-02-21 22:11:01.065040,620,6,0.467,1
2026-02-21 22:11:02.065040,993,6,0.878,1
2026-02-21 22:11:03.065040,889,1,0.086,1
2026-02-21 22:11:04.065040,383,1,0.159,0
2026-02-21 22:11:05.065040,558,17,0.272,1
2026-02-21 22:11:06.065040,547,17,0.11,1
2026-02-21 22:11:07.065040,1061,1,0.804,0
2026-02-21 22:11:08.065040,293,6,0.533,1
2026-02-21 22:11:09.065040,603,6,0.654,0
2026-02-21 22:11:10.065040,103,1,0.052,0
2026-02-21 22:11:11.065040,1063,1,0.981,1
2026-02-21 22:11:12.065040,286,17,0.64,0
2026-02-21 22:11:13.065040,1318,6,0.83,1
2026-02-21 22:11:14.065040,1256,17,0.668,0
2026-02-21 22:11:15.065040,504,6,0.048,1
2026-02-21 22:11:16.065040,1119,1,0.317,0
2026-02-21 22:11:17.065040,963,6,0.995,0
2026-02-21 22:11:18.065040,127,17,0.541,0
2026-02-21 22:11:19.065040,457,6,0.525,1
2026-02-21 22:11:20.065040,1201,17,0.892,1
2026-02-21 22:11:21.065040,807,17,0.003,0
2026-02-21 22:11:22.065040,798,6,0.447,1
2026-02-21 22:11:23.065040,297,6,0.615,1
2026-02-21 22:11:24.065040,1191,17,0.979,1
2026-02-21 22:11:25.065040,257,6,0.791,1
2026-02-21 22:11:26.065040,1490,6,0.589,0
2026-02-21 22:11:27.065040,1131,17,0.06,0
2026-02-21 22:11:28.065040,1046,1,0.952,0
2026-02-21 22:11:29.065040,836,6,0.326,1
2026-02-21 22:11:30.065040,1294,17,0.81,1
2026-02-21 22:11:31.065040,718,6,0.942,1
2026-02-21 22:11:32.065040,1048,1,0.451,0
2026-02-21 22:11:33.065040,881,17,0.891,0
2026-02-21 22:11:34.065040,922,17,0.92,0
2026-02-21 22:11:35.065040,43,6,0.101,1
2026-02-21 22:11:36.065040,84,1,0.762,0
2026-02-21 22:11:37.065040,868,17,0.733,1
2026-02-21 22:11:38.065040,873,17,0.562,0
2026-02-21 22:11:39.065040,1138,1,0.23,1
2026-02-21 22:11:40.065040,1009,6,0.26,0
2026-02-21 22:11:41.065040,1418,17,0.855,1
2026-02-21 22:11:42.065040,837,1,0.931,0
2026-02-21 22:11:43.065040,147,6,0.204,0
2026-02-21 22:11:44.065040,444,17,0.607,1
2026-02-21 22:11:45.065040,788,17,0.751,1
2026-02-21 22:11:46.065040,747,6,0.606,1
2026-02-21 22:11:47.065040,114,6,0.951,1
2026-02-21 22:11:48.065040,1081,1,0.242,1
2026-02-21 22:11:49.065040,53,17,0.762,0
2026-02-21 22:11:50.065040,455,6,0.081,1
2026-02-21 22:11:51.065040,973,17,0.414,1
2026-02-21 22:11:52.065040,91,1,0.076,1
2026-02-21 22:11:53.065040,1077,6,0.503,0
2026-02-21 22:11:54.065040,1102,1,0.938,0
2026-02-21 22:11:55.065040,143,6,0.579,0
2026-02-21 22:11:56.065040,1091,1,0.038,1
2026-02-21 22:11:57.065040,1340,1,0.907,0
2026-02-21 22:11:58.065040,96,1,0.805,1
2026-02-21 22:11:59.065040,168,17,0.622,0
2026-02-21 22:12:00.065040,305,6,0.14,0
2026-02-21 22:12:01.065040,1206,1,0.114,0
2026-02-21 22:12:02.065040,822,6,0.733,1
2026-02-21 22:12:03.065040,964,1,0.399,0
2026-02-21 22:12:04.065040,1035,17,0.936,1
2026-02-21 22:12:05.065040,1490,17,0.871,0
2026-02-21 22:12:06.065040,981,1,0.604,0
2026-02-21 22:12:07.065040,503,6,0.635,0
2026-02-21 22:12:08.065040,702,1,0.339,1
2026-02-21 22:12:09.065040,411,1,0.886,0
2026-02-21 22:12:10.065040,182,1,0.971,0
2026-02-21 22:12:11.065040,387,1,0.114,0
2026-02-21 22:12:12.065040,1054,1,0.426,0
2026-02-21 22:12:13.065040,57,17,0.614,1
2026-02-21 22:12:14.065040,543,1,0.304,1
2026-02-21 22:12:15.065040,1209,1,0.124,1
2026-02-21 22:12:16.065040,773,17,0.261,1
2026-02-21 22:12:17.065040,584,1,0.128,0
2026-02-21 22:12:18.065040,1231,1,0.322,1
2026-02-21 22:12:19.065040,1381,1,0.722,0
2026-02-21 22:12:20.065040,926,6,0.408,0
2026-02-21 22:12:21.065040,69,1,0.103,0
2026-02-21 22:12:22.065040,860,1,0.789,1
2026-02-21 22:12:23.065040,644,6,0.796,1
2026-02-21 22:12:24.065040,1136,17,0.279,1
2026-02-21 22:12:25.065040,624,6,0.194,0
2026-02-21 22:12:26.065040,150,1,0.032,1
2026-02-21 22:12:27.065040,465,17,0.786,1
2026-02-21 22:12:28.065040,1272,1,0.54,0
2026-02-21 22:12:29.065040,584,17,0.724,0
2026-02-21 22:12:30.065040,882,6,0.843,1
2026-02-21 22:12:31.065040,45,17,0.777,1
2026-02-21 22:12:32.065040,1123,6,0.956,0
2026-02-21 22:12:33.065040,185,6,0.869,0
2026-02-21 22:12:34.065040,312,17,0.132,1
2026-02-21 22:12:35.065040,345,17,0.748,0
2026-02-21 22:12:36.065040,771,17,0.503,0
2026-02-21 22:12:37.065040,1071,6,0.906,0
2026-02-21 22:12:38.065040,1158,17,0.732,0
2026-02-21 22:12:39.065040,77,17,0.556,1
2026-02-21 22:12:40.065040,622,1,0.737,1
2026-02-21 22:12:41.065040,651,6,0.933,0
2026-02-21 22:12:42.065040,1154,6,0.752,0
2026-02-21 22:12:43.065040,640,1,0.595,1
2026-02-21 22:12:44.065040,755,1,0.763,0
2026-02-21 22:12:45.065040,1041,1,0.468,0
2026-02-21 22:12:46.065040,1470,1,0.574,0
2026-02-21 22:12:47.065040,766,6,0.606,1
2026-02-21 22:12:48.065040,542,1,0.104,0
2026-02-21 22:12:49.065040,1025,17,0.511,1
2026-02-21 22:12:50.065040,1067,6,0.636,0
2026-02-21 22:12:51.065040,834,6,0.359,1
2026-02-21 22:12:52.065040,486,1,0.766,0
2026-02-21 22:12:53.065040,1170,1,0.485,0
2026-02-21 22:12:54.065040,72,1,0.474,0
2026-02-21 22:12:55.065040,493,17,0.003,0
2026-02-21 22:12:56.065040,755,1,0.896,0
2026-02-21 22:12:57.065040,498,6,0.526,1
2026-02-21 22:12:58.065040,347,17,0.487,1
2026-02-21 22:12:59.065040,602,1,0.387,0
2026-02-21 22:13:00.065040,578,17,0.019,1
2026-02-21 22:13:01.065040,1223,17,0.457,1
2026-02-21 22:13:02.065040,1191,6,0.687,1
2026-02-21 22:13:03.065040,185,1,0.889,1
2026-02-21 22:13:04.065040,184,6,0.166,0
2026-02-21 22:13:05.065040,123,1,0.137,1
2026-02-21 22:13:06.065040,720,6,0.533,0
2026-02-21 22:13:07.065040,1265,17,0.67,0
2026-02-21 22:13:08.065040,1369,17,0.568,1
2026-02-21 22:13:09.065040,1297,6,0.995,0
2026-02-21 22:13:10.065040,569,1,0.149,0
2026-02-21 22:13:11.065040,281,17,0.007,1
2026-02-21 22:13:12.065040,571,17,0.969,0
2026-02-21 22:13:13.065040,1307,1,0.167,1
2026-02-21 22:13:14.065040,612,6,0.996,0
2026-02-21 22:13:15.065040,989,1,0.935,1
2026-02-21 22:13:16.065040,914,6,0.615,1
2026-02-21 22:13:17.065040,1219,17,0.917,0
2026-02-21 22:13:18.065040,1337,17,0.589,0
2026-02-21 22:13:19.065040,595,17,0.989,0
2026-02-21 22:13:20.065040,756,1,0.719,0
2026-02-21 22:13:21.065040,334,17,0.365,0
2026-02-21 22:13:22.065040,836,1,0.382,1
2026-02-21 22:13:23.065040,1322,1,0.476,0
2026-02-21 22:13:24.065040,383,6,0.717,0
2026-02-21 22:13:25.065040,221,17,0.336,0
2026-02-21 22:13:26.065040,1149,1,0.531,0
2026-02-21 22:13:27.065040,670,6,0.782,0
2026-02-21 22:13:28.065040,1389,17,0.315,1
2026-02-21 22:13:29.065040,1068,17,0.979,0
2026-02-21 22:13:30.065040,54,6,0.027,0
2026-02-21 22:13:31.065040,500,17,0.778,0
2026-02-21 22:13:32.065040,88,6,0.628,0
2026-02-21 22:13:33.065040,330,1,0.837,0
2026-02-21 22:13:34.065040,607,1,0.375,1
2026-02-21 22:13:35.065040,1160,17,0.135,0
2026-02-21 22:13:36.065040,834,17,0.318,0
2026-02-21 22:13:37.065040,319,17,0.509,0
2026-02-21 22:13:38.065040,431,17,0.055,1
2026-02-21 22:13:39.065040,895,6,0.82,1
2026-02-21 22:13:40.065040,1445,1,0.454,1
2026-02-21 22:13:41.065040,1077,1,0.584,1
2026-02-21 22:13:42.065040,201,17,0.525,1
2026-02-21 22:13:43.065040,514,6,0.929,1
2026-02-21 22:13:44.065040,141,17,0.486,1
2026-02-21 22:13:45.065040,870,1,0.473,0
2026-02-21 22:13:46.065040,713,1,0.321,1
2026-02-21 22:13:47.065040,929,6,0.624,1
2026-02-21 22:13:48.065040,1239,17,0.598,1
2026-02-21 22:13:49.065040,1048,6,0.192,0
2026-02-21 22:13:50.065040,1152,6,0.653,1
2026-02-21 22:13:51.065040,1181,6,0.79,0
2026-02-21 22:13:52.065040,441,6,0.537,0
2026-02-21 22:13:53.065040,1137,6,0.679,0
2026-02-21 22:13:54.065040,767,1,0.756,1
2026-02-21 22:13:55.065040,1343,17,0.426,0
2026-02-21 22:13:56.065040,1373,17,0.699,0
2026-02-21 22:13:57.065040,1291,17,0.839,1
2026-02-21 22:13:58.065040,836,1,0.36,1
2026-02-21 22:13:59.065040,1233,1,0.125,0
2026-02-21 22:14:00.065040,460,17,0.253,0
2026-02-21 22:14:01.065040,824,1,0.654,0
2026-02-21 22:14:02.065040,430,6,0.329,1
2026-02-21 22:14:03.065040,692,1,0.987,0
2026-02-21 22:14:04.065040,749,6,0.441,0
2026-02-21 22:14:05.065040,1041,17,0.256,1
2026-02-21 22:14:06.065040,922,17,0.779,1
2026-02-21 22:14:07.065040,862,17,0.642,1
2026-02-21 22:14:08.065040,333,1,0.891,0
2026-02-21 22:14:09.065040,783,1,0.029,0
2026-02-21 22:14:10.065040,876,6,0.825,0
2026-02-21 22:14:11.065040,925,1,0.305,0
2026-02-21 22:14:12.065040,386,1,0.2,1
2026-02-21 22:14:13.065040,241,17,0.912,1
2026-02-21 22:14:14.065040,920,17,0.83,0
2026-02-21 22:14:15.065040,592,6,0.96,1
2026-02-21 22:14:16.065040,883,1,0.59,0
2026-02-21 22:14:17.065040,716,6,0.49,1
2026-02-21 22:14:18.065040,289,17,0.757,0
2026-02-21 22:14:19.065040,105,17,0.873,0
2026-02-21 22:14:20.065040,1059,1,0.15,0
2026-02-21 22:14:21.065040,1445,6,0.979,1
2026-02-21 22:14:22.065040,869,6,0.295,0
2026-02-21 22:14:23.065040,1495,17,0.851,1
